TransactionID,TransactionDT,TransactionAmt,ProductCD,card1,P_emaildomain,fe_amt_log1p,fe_freq_card1_addr1_cumulative,predicted_prob
3550264,14927115,3133.06,W,6344,gmail.com,8.050084,12,0.2856087
3491411,13208033,3076.97,W,5033,hotmail.com,8.032025,739,0.09150669
3571743,15631810,2480.06,W,2616,gmail.com,7.816441,89,0.20566376
3552603,15001263,2259.95,W,6019,gmail.com,7.7235403,474,0.24223316
3552634,15002056,2259.95,W,6019,gmail.com,7.7235403,475,0.14438358
3488473,13137027,2161.0,W,3278,yahoo.com,7.678789,27,0.27873674
3494038,13284434,1949.69,W,1546,gmail.com,7.575938,197,0.16547641
3476245,12761407,1795.8,W,4436,anonymous.com,7.4937625,600,0.100206636
3488475,13137092,1651.0,W,3278,yahoo.com,7.409742,28,0.4062683
3535177,14483678,1651.0,W,14153,cox.net,7.409742,0,0.37295464
3530331,14330637,1504.47,W,12695,yahoo.com,7.31686,5309,0.12960179
3530376,14331376,1504.47,W,12695,yahoo.com,7.31686,5310,0.079086505
3498919,13390766,1402.85,W,9803,hotmail.com,7.2469735,48,0.30390224
3499538,13404605,1402.85,W,18015,hotmail.com,7.2469735,0,0.1085145
3536398,14505335,1392.36,W,12002,gmail.com,7.2394733,349,0.33047372
3543598,14707634,1384.95,W,15066,hotmail.com,7.234141,693,0.0393087
3577361,15807368,1224.0,W,3278,yahoo.com,7.1106963,33,0.17389724
3573301,15696151,1220.0,W,10925,gmail.com,7.1074257,12,0.44660985
3465182,12411004,1104.0,W,15385,gmail.com,7.007601,401,0.22700392
3465187,12411119,1104.0,W,4834,gmail.com,7.007601,2,0.3932794
3489944,13187211,1104.0,W,15484,gmail.com,7.007601,602,0.21600136
3501043,13457801,1104.0,W,6816,gmail.com,7.007601,1,0.4780269
3525495,14191264,1104.0,W,5645,gmail.com,7.007601,2,0.4655669
3557544,15134631,1104.0,W,15066,yahoo.com,7.007601,364,0.4722201
3557548,15134859,1104.0,W,10447,yahoo.com,7.007601,898,0.22854209
3567272,15466148,1104.0,W,14182,yahoo.com,7.007601,49,0.48712948
3567280,15466331,1104.0,W,9685,yahoo.com,7.007601,2,0.25268254
3575222,15737049,1104.0,W,2884,gmail.com,7.007601,100,0.29852572
3575271,15738928,1103.99,W,2884,gmail.com,7.0075917,101,0.3807742
3575340,15745524,1052.0,W,15484,gmail.com,6.9593987,716,0.26793355
3553711,15022916,1044.95,W,17188,yahoo.com,6.952681,5645,0.24163374
3535189,14483824,994.0,W,14153,cox.net,6.902743,1,0.4042977
3561280,15267419,994.0,W,2616,mail.com,6.902743,169,0.42146274
3575549,15769065,944.0,W,1444,yahoo.com,6.851185,372,0.37566733
3499764,13425910,922.0,W,9500,gmail.com,6.827629,386,0.30008623
3499765,13426003,922.0,W,9500,,6.827629,387,0.47181144
3494432,13292331,914.0,W,16132,comcast.net,6.818924,2974,0.46236852
3499713,13413663,884.0,W,15484,,6.785588,616,0.48536712
3479073,12847097,795.95,W,16075,gmail.com,6.680792,184,0.33258432
3560514,15248483,774.0,W,10925,,6.652863,9,0.27551037
3573351,15696986,770.0,W,10925,gmail.com,6.6476884,13,0.44149557
3463757,12341208,738.95,W,7585,gmail.com,6.6065826,638,0.20538451
3492525,13227474,680.45,W,3682,gmail.com,6.524223,90,0.25279832
3473556,12679696,664.0,W,14079,aol.com,6.499787,40,0.2618606
3540772,14648688,664.0,W,9500,gmail.com,6.499787,4321,0.31198883
3577246,15804797,664.0,W,9500,gmail.com,6.499787,1716,0.33464172
3515440,13900415,611.95,W,4014,gmail.com,6.4182835,27,0.08857934
3459010,12182501,554.0,W,4834,gmail.com,6.3189683,1,0.36076003
3470839,12592495,554.0,W,11207,gmail.com,6.3189683,755,0.36876273
3507457,13656829,554.0,W,7482,hotmail.com,6.3189683,257,0.46032718
3514338,13878624,554.0,W,12116,yahoo.com,6.3189683,6,0.40618357
3533110,14414520,554.0,W,17321,,6.3189683,654,0.38179728
3542372,14677119,554.0,W,6816,gmail.com,6.3189683,2,0.49700162
3549520,14913099,554.0,W,4208,aol.com,6.3189683,155,0.39744994
3472127,12620807,550.49,W,6739,,6.3126235,0,0.44675696
3500275,13445698,500.0,W,3121,yahoo.com,6.216606,3,0.40146473
3501167,13459726,500.0,H,9926,gmail.com,6.216606,0,0.28659877
3513839,13865253,500.0,R,6741,gmail.com,6.216606,74,0.46917427
3541200,14657865,464.34,W,3821,yahoo.com,6.1427684,70,0.2484665
3548553,14863838,450.0,H,6019,gmail.com,6.1114674,89,0.49227205
3480801,12877882,445.0,W,17188,gmail.com,6.100319,4937,0.44664538
3519418,14025087,445.0,W,2893,,6.100319,21,0.45451015
3520536,14060023,445.0,W,11207,gmail.com,6.100319,842,0.30758935
3533517,14421617,445.0,W,11207,gmail.com,6.100319,862,0.3673073
3534157,14434750,445.0,W,11207,gmail.com,6.100319,864,0.3293478
3536951,14516195,445.0,W,7585,comcast.net,6.100319,594,0.4877765
3550424,14930180,445.0,W,9400,anonymous.com,6.100319,711,0.4138644
3568653,15533007,445.0,W,12116,yahoo.com,6.100319,8,0.40388834
3498052,13377836,440.99,W,9002,yahoo.com,6.091287,11,0.18237534
3478862,12843619,437.0,W,3326,anonymous.com,6.082219,104,0.41864058
3514187,13875149,435.95,W,4858,gmail.com,6.0798187,3,0.2606443
3542486,14678798,424.95,W,10486,yahoo.com,6.054322,248,0.23125294
3511536,13793441,422.5,W,9002,yahoo.com,6.0485535,14,0.3241756
3566856,15455614,422.5,W,15205,gmail.com,6.0485535,16,0.37585852
3566350,15444021,417.5,W,15205,gmail.com,6.036677,13,0.3461845
3528508,14270179,390.0,W,9002,yahoo.com,5.9687076,16,0.3775451
3532617,14404731,390.0,W,9002,yahoo.com,5.9687076,18,0.34541363
3532661,14405731,390.0,W,9002,yahoo.com,5.9687076,19,0.3385792
3535488,14489286,390.0,W,6958,comcast.net,5.9687076,38,0.4260283
3564609,15366371,390.0,W,12839,gmail.com,5.9687076,3450,0.46101236
3477056,12777445,389.783,C,5177,hotmail.com,5.9681525,5,0.27810466
3509794,13730471,374.95,W,17188,,5.929456,5231,0.38413736
3529332,14313164,370.0,W,9002,yahoo.com,5.916202,17,0.43920642
3470846,12592646,335.0,W,6053,gmail.com,5.817111,6,0.27513888
3486557,13104201,335.0,W,2803,gmail.com,5.817111,64,0.41934955
3493216,13268699,335.0,W,10616,yahoo.com,5.817111,85,0.36245418
3515484,13901392,335.0,W,7585,aol.com,5.817111,558,0.26866984
3523979,14152043,335.0,W,5663,outlook.com,5.817111,59,0.36654967
3537315,14524665,335.0,W,9803,hotmail.com,5.817111,13,0.26607278
3558459,15180919,335.0,W,10925,,5.817111,7,0.10749343
3565385,15384869,335.0,W,9500,gmail.com,5.817111,4549,0.30183214
3567805,15508395,335.0,W,1444,gmail.com,5.817111,365,0.3832423
3543700,14731324,334.99,W,10112,gmail.com,5.8170815,166,0.15155649
3549975,14921378,326.3,W,15066,gmail.com,5.7908773,118,0.13449928
3493110,13265441,323.0,W,12116,yahoo.com,5.7807436,4,0.4264557
3459560,12200546,319.95,W,2928,,5.7712855,7,0.20609817
3477962,12796282,317.5,W,15185,yahoo.com,5.7636223,421,0.4778174
3477965,12796417,317.5,W,15185,yahoo.com,5.7636223,422,0.20151034
3566647,15450655,317.5,W,15205,gmail.com,5.7636223,15,0.26383916
3459578,12201878,315.95,W,10023,icloud.com,5.7587442,1597,0.12261995
3467439,12492998,315.0,W,15063,outlook.com,5.755742,129,0.36581615
3499457,13402194,312.73,W,11862,gmail.com,5.748533,1,0.40383002
3493037,13262996,311.95,W,10023,gmail.com,5.746043,1728,0.45524848
3503123,13526608,311.95,W,10881,gmail.com,5.746043,14,0.099051185
3503133,13526831,311.95,W,10881,gmail.com,5.746043,15,0.45864123
3510879,13753201,311.95,W,4030,gmail.com,5.746043,639,0.300548
3524487,14161115,311.95,W,16485,gmail.com,5.746043,360,0.2469212
3540046,14605231,311.95,W,2803,yahoo.com,5.746043,896,0.46498534
3540377,14614989,311.95,W,2803,yahoo.com,5.746043,899,0.46720833
3560761,15256644,311.95,W,18234,gmail.com,5.746043,0,0.32329628
3562884,15294105,311.95,W,11207,,5.746043,542,0.4864503
3570915,15615622,311.95,W,11162,yahoo.com,5.746043,52,0.11438933
3575694,15773676,311.95,W,10023,,5.746043,2073,0.48993823
3522749,14103891,305.97,W,17400,gmail.com,5.72675,940,0.2868104
3563914,15350796,303.95,W,10023,gmail.com,5.7201476,2032,0.363369
3564009,15353032,303.95,W,10023,gmail.com,5.7201476,2033,0.19191886
3550643,14934433,300.0,R,7202,anonymous.com,5.7071104,1,0.08896405
3554399,15036527,300.0,H,9112,yahoo.com,5.7071104,2193,0.4811214
3459754,12225503,299.95,W,18249,yahoo.com,5.706944,69,0.06437354
3532256,14398198,293.0,W,10859,gmail.com,5.68358,33,0.2516452
3472468,12639887,280.0,W,11716,,5.638355,15,0.15385441
3481213,12914587,280.0,W,13478,gmail.com,5.638355,24,0.27171928
3505784,13620273,280.0,W,11157,yahoo.com,5.638355,734,0.1884195
3517826,13978107,280.0,W,6174,gmail.com,5.638355,675,0.4719827
3525203,14176411,280.0,W,17399,yahoo.com,5.638355,1624,0.42967355
3540460,14619113,280.0,W,7585,yahoo.com,5.638355,21,0.4918701
3561722,15275112,280.0,W,14079,aol.com,5.638355,54,0.14637405
3573711,15703735,280.0,W,15066,gmail.com,5.638355,200,0.4396777
3576410,15788175,280.0,W,6741,gmail.com,5.638355,144,0.4406874
3467048,12465530,270.0,W,16659,gmail.com,5.602119,76,0.46319416
3471922,12615934,269.95,W,18366,gmail.com,5.6019344,371,0.33929914
3542842,14684749,265.594,C,10340,gmail.com,5.5857267,38,0.3001995
3528060,14259281,261.95,W,16883,hotmail.com,5.571964,373,0.20317635
3555602,15089722,261.95,W,12615,,5.571964,400,0.18694943
3573641,15702542,260.0,W,12577,yahoo.com,5.5645204,82,0.15273748
3503256,13530493,255.0,W,16255,gmail.com,5.5451775,116,0.21206899
3508238,13701890,251.95,W,10229,yahoo.com,5.5331917,11,0.18771003
3504739,13560700,250.0,R,7487,cox.net,5.525453,1,0.28456995
3504767,13561345,250.0,R,7487,cox.net,5.525453,2,0.10601872
3540934,14652475,250.0,R,10486,anonymous.com,5.525453,28,0.42831028
3563721,15346430,250.0,R,2616,anonymous.com,5.525453,319,0.04434673
3563723,15346467,250.0,R,2616,anonymous.com,5.525453,320,0.043602165
3563749,15347158,250.0,R,2616,anonymous.com,5.525453,321,0.04146233
3572105,15639525,250.0,W,15066,gmail.com,5.525453,199,0.4521471
3461259,12256365,232.95,W,2455,,5.455107,70,0.39755416
