threshold,precision,recall,f1_score,accuracy,specificity,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives,flagged_count,flagged_rate_pct,fraud_capture_rate_pct
0.01,0.0352,1.0,0.0681,0.0591,0.0256,0.9744,0.0,4073,111530,2931,0,115603,97.53,100.0
0.02,0.0375,0.9985,0.0722,0.1186,0.0873,0.9127,0.0015,4067,104468,9993,6,108535,91.56,99.85
0.03,0.0398,0.9958,0.0766,0.1747,0.1455,0.8545,0.0042,4056,97804,16657,17,101860,85.93,99.58
0.04,0.0421,0.9917,0.0808,0.225,0.1978,0.8022,0.0083,4039,91825,22636,34,95864,80.87,99.17
0.05,0.0445,0.9885,0.0852,0.2705,0.2449,0.7551,0.0115,4026,86429,28032,47,90455,76.31,98.85
0.06,0.0468,0.9858,0.0894,0.3103,0.2863,0.7137,0.0142,4015,81692,32769,58,85707,72.31,98.58
0.07,0.0492,0.9818,0.0936,0.3469,0.3243,0.6757,0.0182,3999,77341,37120,74,81340,68.62,98.18
0.08,0.0513,0.9764,0.0975,0.3786,0.3573,0.6427,0.0236,3977,73566,40895,96,77543,65.42,97.64
0.09,0.0533,0.9708,0.1011,0.4069,0.3869,0.6131,0.0292,3954,70180,44281,119,74134,62.54,97.08
0.1,0.0555,0.9676,0.105,0.4333,0.4143,0.5857,0.0324,3941,67045,47416,132,70986,59.89,96.76
0.11,0.0575,0.9619,0.1086,0.4573,0.4393,0.5607,0.0381,3918,64174,50287,155,68092,57.45,96.19
0.12,0.0596,0.9561,0.1122,0.48,0.4631,0.5369,0.0439,3894,61457,53004,179,65351,55.13,95.61
0.13,0.0615,0.9502,0.1156,0.5003,0.4843,0.5157,0.0498,3870,59029,55432,203,62899,53.06,95.02
0.14,0.0635,0.9435,0.1189,0.5196,0.5045,0.4955,0.0565,3843,56717,57744,230,60560,51.09,94.35
0.15,0.0655,0.9384,0.1224,0.5378,0.5235,0.4765,0.0616,3822,54539,59922,251,58361,49.24,93.84
