threshold,precision,recall,f1_score,balanced_accuracy,overall_accuracy,false_positives,false_negatives
0.01,0.0349,0.9998,0.0675,0.5083,0.0507,112527,1
0.02,0.0369,0.9983,0.0712,0.5361,0.1057,106003,7
0.03,0.0397,0.9958,0.0764,0.5696,0.1726,98057,17
0.04,0.0427,0.9921,0.0819,0.6005,0.2357,90566,32
0.05,0.046,0.9885,0.088,0.6299,0.296,83401,47
0.06,0.0492,0.9836,0.0938,0.6539,0.3469,77352,67
0.07,0.0526,0.9781,0.0998,0.6754,0.3935,71805,89
0.08,0.056,0.973,0.1059,0.6946,0.4354,66812,110
0.09,0.0594,0.9649,0.112,0.7107,0.474,62202,143
0.1,0.0628,0.9561,0.1178,0.7241,0.5081,58126,179
0.11,0.0666,0.9511,0.1245,0.7385,0.5404,54282,199
0.12,0.0704,0.946,0.131,0.7506,0.5687,50906,220
0.13,0.0743,0.9406,0.1377,0.7618,0.5953,47725,242
0.14,0.0784,0.9364,0.1447,0.7723,0.6195,44840,259
0.15,0.0823,0.9295,0.1512,0.7803,0.6414,42222,287
0.16,0.0864,0.9229,0.158,0.7878,0.6619,39759,314
0.17,0.0906,0.9165,0.1648,0.7945,0.6809,37488,340
0.18,0.0945,0.9096,0.1713,0.7998,0.6976,35482,368
0.19,0.0988,0.9033,0.178,0.805,0.7134,33575,394
0.2,0.1031,0.8971,0.185,0.8098,0.7284,31777,419
0.21,0.1073,0.8888,0.1915,0.8128,0.7421,30114,453
0.22,0.1118,0.8831,0.1984,0.8167,0.7548,28584,476
0.23,0.1166,0.879,0.2059,0.821,0.767,27125,493
0.24,0.1211,0.8718,0.2127,0.8233,0.7782,25773,522
0.25,0.1259,0.8667,0.2199,0.8263,0.7887,24506,543
0.26,0.1302,0.8601,0.2262,0.8278,0.7978,23395,570
0.27,0.1346,0.8517,0.2325,0.8285,0.8068,22295,604
0.28,0.1393,0.8463,0.2393,0.8302,0.8151,21290,626
0.29,0.144,0.8404,0.2459,0.8313,0.8228,20349,650
0.3,0.1491,0.8365,0.2531,0.8333,0.8303,19445,666
0.31,0.154,0.8306,0.2599,0.8341,0.8374,18582,690
0.32,0.1592,0.8254,0.2669,0.8351,0.8442,17758,711
0.33,0.1639,0.8191,0.2731,0.8352,0.8502,17020,737
0.34,0.1693,0.8141,0.2802,0.836,0.8563,16276,757
0.35,0.1749,0.8095,0.2876,0.8368,0.8622,15557,776
0.36,0.1808,0.8055,0.2953,0.8378,0.8679,14867,792
